"filename", "language", "CSS", "JavaScript JSX", "JavaScript", "XML", "comment", "blank", "total"
"c:\skalpha app\Tierlist\src\App.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\skalpha app\Tierlist\src\App.jsx", "JavaScript JSX", 0, 82, 0, 0, 7, 9, 98
"c:\skalpha app\Tierlist\src\HeaderAndSideBar\Header.css", "CSS", 80, 0, 0, 0, 0, 2, 82
"c:\skalpha app\Tierlist\src\HeaderAndSideBar\Header.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 4, 38
"c:\skalpha app\Tierlist\src\HeaderAndSideBar\sidebar.css", "CSS", 109, 0, 0, 0, 0, 5, 114
"c:\skalpha app\Tierlist\src\HeaderAndSideBar\sidebar.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 5, 42
"c:\skalpha app\Tierlist\src\InventoryStage\Heart.css", "CSS", 13, 0, 0, 0, 0, 1, 14
"c:\skalpha app\Tierlist\src\InventoryStage\Heart.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 4, 25
"c:\skalpha app\Tierlist\src\InventoryStage\Hunger.css", "CSS", 15, 0, 0, 0, 0, 1, 16
"c:\skalpha app\Tierlist\src\InventoryStage\Hunger.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 4, 27
"c:\skalpha app\Tierlist\src\InventoryStage\Inventories.css", "CSS", 187, 0, 0, 0, 0, 2, 189
"c:\skalpha app\Tierlist\src\InventoryStage\Inventories.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 14, 84
"c:\skalpha app\Tierlist\src\LeaderBoard\Best.css", "CSS", 16, 0, 0, 0, 0, 0, 16
"c:\skalpha app\Tierlist\src\LeaderBoard\Best.jsx", "JavaScript JSX", 0, 31, 0, 0, 1, 2, 34
"c:\skalpha app\Tierlist\src\LeaderBoard\OverAllTier.css", "CSS", 194, 0, 0, 0, 0, 7, 201
"c:\skalpha app\Tierlist\src\LeaderBoard\OverAllTier.jsx", "JavaScript JSX", 0, 88, 0, 0, 0, 4, 92
"c:\skalpha app\Tierlist\src\TierPreview\MatchHistory.css", "CSS", 53, 0, 0, 0, 1, 3, 57
"c:\skalpha app\Tierlist\src\TierPreview\MatchHistory.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 2, 23
"c:\skalpha app\Tierlist\src\TierPreview\TierPreview.css", "CSS", 259, 0, 0, 0, 257, 13, 529
"c:\skalpha app\Tierlist\src\TierPreview\TierPreview.jsx", "JavaScript JSX", 0, 106, 0, 0, 100, 6, 212
"c:\skalpha app\Tierlist\src\TierTables\TableTiers.css", "CSS", 18, 0, 0, 0, 0, 0, 18
"c:\skalpha app\Tierlist\src\TierTables\TableTiers.jsx", "JavaScript JSX", 0, 43, 0, 0, 1, 1, 45
"c:\skalpha app\Tierlist\src\TierTables\TierColumn.css", "CSS", 80, 0, 0, 0, 0, 2, 82
"c:\skalpha app\Tierlist\src\TierTables\TierColumn.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 5, 35
"c:\skalpha app\Tierlist\src\TierTables\TierElement.css", "CSS", 23, 0, 0, 0, 1, 2, 26
"c:\skalpha app\Tierlist\src\TierTables\TierElement.jsx", "JavaScript JSX", 0, 51, 0, 0, 0, 7, 58
"c:\skalpha app\Tierlist\src\UseFulFunctions\Functions.jsx", "JavaScript JSX", 0, 81, 0, 0, 14, 10, 105
"c:\skalpha app\Tierlist\src\assets\overall.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\skalpha app\Tierlist\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\skalpha app\Tierlist\src\index.css", "CSS", 17, 0, 0, 0, 4, 3, 24
"c:\skalpha app\Tierlist\src\main.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 2, 14
"c:\skalpha app\Tierlist\src\setupProxy.js", "JavaScript", 0, 0, 11, 0, 0, 1, 12
"Total", "-", 1064, 730, 11, 2, 386, 122, 2315
